workflow,overall_score,输入 Schema 完整性,骨架拓扑一致性,Step 内容完整性,Skill 与抽取字段,条件表达式质量,错误兜底与可执行性
ap_offline,76.81,0.00,100.00,97.80,79.06,96.69,87.32
ping_unreachable,98.60,100.00,100.00,100.00,92.18,99.40,100.00
vlan,96.95,100.00,100.00,100.00,85.56,96.13,100.00
wireless,97.77,100.00,100.00,100.00,89.34,97.30,100.00
