file,step_id,severity,category,path,line,message,recommendation
step_0_check_ping_command.yaml,step_0_check_ping_command,warning,condition,transitions.rules[0].condition,9,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_0_check_ping_command.yaml,step_0_check_ping_command,warning,condition,transitions.rules[1].condition,9,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_1_check_mtu.yaml,step_1_check_mtu,warning,condition,transitions.rules[0].condition,16,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_1_check_mtu.yaml,step_1_check_mtu,warning,condition,transitions.rules[1].condition,16,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_2_check_port_vlan.yaml,step_2_check_port_vlan,warning,condition,transitions.rules[0].condition,22,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_2_check_port_vlan.yaml,step_2_check_port_vlan,warning,condition,transitions.rules[1].condition,22,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_3_check_ip_interface.yaml,step_3_check_ip_interface,warning,condition,transitions.rules[0].condition,22,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_3_check_ip_interface.yaml,step_3_check_ip_interface,warning,condition,transitions.rules[1].condition,22,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_4_check_physical_link.yaml,step_4_check_physical_link,warning,condition,transitions.rules[0].condition,14,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_4_check_physical_link.yaml,step_4_check_physical_link,warning,condition,transitions.rules[1].condition,14,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_7_check_direct_route.yaml,step_7_check_direct_route,warning,inputs,skills[0].inputs.ip_address,,输入值看起来像占位符: 目标IP地址,替换为可由用户输入、前序结果或固定常量解析的真实值
step_9_check_traffic_behavior_redirect.yaml,step_9_check_traffic_behavior_redirect,warning,inputs,skills[0].inputs.behavior_name,,输入值看起来像占位符: 流行为名称（从step_8的Policy_Name关联获取）,替换为可由用户输入、前序结果或固定常量解析的真实值
step_10_check_classifier_acl.yaml,step_10_check_classifier_acl,warning,inputs,skills[1].inputs.acl_number,,输入值看起来像占位符: 与流分类关联的ACL编号,替换为可由用户输入、前序结果或固定常量解析的真实值
step_10_check_classifier_acl.yaml,step_10_check_classifier_acl,warning,condition,transitions.rules[0].condition,24,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_12_check_mac_outbound.yaml,step_12_check_mac_outbound,warning,inputs,skills[0].inputs.mac_address,,输入值看起来像占位符: 来自step_11提取的MAC_ADDRESS字段值,替换为可由用户输入、前序结果或固定常量解析的真实值
step_12_check_mac_outbound.yaml,step_12_check_mac_outbound,warning,condition,transitions.rules[0].condition,17,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_13_check_arp_miss_overload.yaml,step_13_check_arp_miss_overload,warning,condition,transitions.rules[0].condition,9,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_13_check_arp_miss_overload.yaml,step_13_check_arp_miss_overload,warning,condition,transitions.rules[1].condition,9,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_14_check_arp_request_link_drop.yaml,step_14_check_arp_request_link_drop,warning,condition,transitions.rules[0].condition,9,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_14_check_arp_request_link_drop.yaml,step_14_check_arp_request_link_drop,warning,condition,transitions.rules[1].condition,9,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_15_check_switchb_cpcar_drop.yaml,step_15_check_switchb_cpcar_drop,warning,condition,transitions.rules[0].condition,9,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_15_check_switchb_cpcar_drop.yaml,step_15_check_switchb_cpcar_drop,warning,condition,transitions.rules[1].condition,9,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_16_check_arp_response_link_drop.yaml,step_16_check_arp_response_link_drop,warning,condition,transitions.rules[0].condition,9,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_16_check_arp_response_link_drop.yaml,step_16_check_arp_response_link_drop,warning,condition,transitions.rules[1].condition,9,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_17_check_switcha_cpcar_drop.yaml,step_17_check_switcha_cpcar_drop,warning,condition,transitions.rules[0].condition,9,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_17_check_switcha_cpcar_drop.yaml,step_17_check_switcha_cpcar_drop,warning,condition,transitions.rules[1].condition,9,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_18_check_switcha_arp_module_error.yaml,step_18_check_switcha_arp_module_error,warning,condition,transitions.rules[0].condition,9,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_18_check_switcha_arp_module_error.yaml,step_18_check_switcha_arp_module_error,warning,condition,transitions.rules[1].condition,9,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_19_check_cpu_defend_policy.yaml,step_19_check_cpu_defend_policy,warning,condition,transitions.rules[0].condition,19,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_20_check_cpu_defend_blacklist.yaml,step_20_check_cpu_defend_blacklist,warning,inputs,skills[0].inputs.policy_name,,输入值看起来像占位符: 策略名称（来自上一步获取的Name字段）,替换为可由用户输入、前序结果或固定常量解析的真实值
step_20_check_cpu_defend_blacklist.yaml,step_20_check_cpu_defend_blacklist,critical,next_node,transitions.rules[1].next_node,21,使用了占位值 __NEED_FILL__,替换为合法的 step_id 或 conclusion_id
step_21_check_blacklist_acl.yaml,step_21_check_blacklist_acl,warning,inputs,skills[0].inputs.acl_number,,输入值看起来像占位符: ACL编号（来自Blacklist字段中的ACL number）,替换为可由用户输入、前序结果或固定常量解析的真实值
step_21_check_blacklist_acl.yaml,step_21_check_blacklist_acl,warning,condition,transitions.rules[0].condition,17,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_21_check_blacklist_acl.yaml,step_21_check_blacklist_acl,warning,condition,transitions.rules[1].condition,17,condition 为空,若分支依赖人工判断可保留；否则补充可规则化表达式
step_21_check_blacklist_acl.yaml,step_21_check_blacklist_acl,critical,next_node,transitions.rules[1].next_node,21,使用了占位值 __NEED_FILL__,替换为合法的 step_id 或 conclusion_id
